User,Compound_Score,Pos_Score,Neu_Score,Neg_Score
tim_cook,0.4199,0.12,0.827,0.053
tim_cook,0.8774,0.387,0.613,0.0
tim_cook,-0.296,0.0,0.896,0.104
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.7574,0.317,0.683,0.0
tim_cook,-0.1531,0.0,0.932,0.068
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.4199,0.141,0.859,0.0
tim_cook,-0.6486,0.0,0.823,0.177
tim_cook,0.6597,0.241,0.759,0.0
tim_cook,0.8625,0.336,0.664,0.0
tim_cook,0.4215,0.141,0.859,0.0
tim_cook,0.7345,0.408,0.592,0.0
tim_cook,0.6588,0.687,0.313,0.0
tim_cook,0.4389,0.171,0.829,0.0
tim_cook,0.4404,0.121,0.879,0.0
tim_cook,0.3818,0.253,0.514,0.233
tim_cook,0.6369,0.181,0.819,0.0
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.8513,0.57,0.43,0.0
tim_cook,0.4199,0.12,0.827,0.053
tim_cook,0.8774,0.387,0.613,0.0
tim_cook,-0.296,0.0,0.896,0.104
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.2263,0.208,0.618,0.174
tim_cook,0.5302,0.198,0.737,0.065
tim_cook,0.4738,0.219,0.781,0.0
tim_cook,0.9215,0.468,0.532,0.0
tim_cook,0.9081,0.437,0.563,0.0
tim_cook,0.8932,0.386,0.614,0.0
tim_cook,0.5994,0.189,0.811,0.0
tim_cook,0.7717,0.3,0.7,0.0
tim_cook,0.7783,0.264,0.736,0.0
tim_cook,0.8906,0.431,0.569,0.0
tim_cook,0.6369,0.189,0.811,0.0
tim_cook,0.8832,0.462,0.538,0.0
tim_cook,-0.4215,0.0,0.887,0.113
tim_cook,0.5413,0.259,0.741,0.0
tim_cook,-0.1955,0.091,0.788,0.121
tim_cook,0.7964,0.351,0.649,0.0
tim_cook,-0.6597,0.108,0.594,0.297
tim_cook,0.7003,0.293,0.707,0.0
tim_cook,0.9168,0.431,0.569,0.0
tim_cook,0.3612,0.135,0.865,0.0
tim_cook,0.5994,0.268,0.613,0.119
tim_cook,0.9098,0.434,0.566,0.0
tim_cook,0.7096,0.247,0.753,0.0
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.4588,0.265,0.641,0.094
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.7712,0.295,0.705,0.0
tim_cook,0.9299,0.496,0.504,0.0
tim_cook,0.743,0.249,0.751,0.0
tim_cook,0.8689,0.38,0.62,0.0
tim_cook,0.8975,0.39,0.61,0.0
tim_cook,0.7959,0.307,0.693,0.0
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.6249,0.242,0.758,0.0
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.8316,0.355,0.645,0.0
tim_cook,0.9184,0.591,0.409,0.0
tim_cook,0.25,0.083,0.917,0.0
tim_cook,0.5399,0.162,0.838,0.0
tim_cook,0.9036,0.465,0.535,0.0
tim_cook,0.7506,0.28,0.72,0.0
tim_cook,0.5106,0.136,0.864,0.0
tim_cook,-0.8519,0.0,0.671,0.329
tim_cook,0.8718,0.421,0.579,0.0
tim_cook,0.5719,0.179,0.821,0.0
tim_cook,0.8715,0.473,0.527,0.0
tim_cook,0.5106,0.16,0.779,0.061
tim_cook,0.8442,0.324,0.676,0.0
tim_cook,0.34,0.146,0.854,0.0
tim_cook,0.9274,0.586,0.414,0.0
tim_cook,0.5411,0.143,0.857,0.0
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.0,0.0,1.0,0.0
tim_cook,0.6369,0.258,0.656,0.086
tim_cook,0.802,0.427,0.573,0.0
tim_cook,0.4939,0.138,0.862,0.0
tim_cook,0.6892,0.262,0.738,0.0
tim_cook,0.4926,0.151,0.849,0.0
tim_cook,0.8655,0.493,0.507,0.0
tim_cook,0.8777,0.478,0.522,0.0
